1,3,80,80,80,76.65,80,79,1,0,1
2,1,40,50,80,76.65,35,61,0,1,4
1,3,80,70,53,80,80,70,1,2,1
1,3,100,85,80,83.35,60,84,1,2,4
2,1,80,70,53,80,80,70,1,3,3
2,3,65,85,80,83.35,65,77,1,1,2
1,3,60,35,0,0,50,24,0,6,2
2,3,45,50,0,0,25,22,0,5,3
2,2,80,80,80,76.65,80,79,1,0,4
2,1,65,70,40,66,65,59,0,2,2
1,3,80,0,0,0,15,18,0,6,4
2,1,65,80,60,80,65,70,1,1,2
2,2,60,50,20,66,40,45,0,4,2
2,3,65,85,80,100,70,81,1,1,1
2,1,65,80,60,100,25,70,1,0,2
2,1,80,80,80,76.65,15,73,1,0,4
1,2,80,65,60,100,25,70,1,3,2
2,2,80,70,53,80,80,70,1,0,4
1,3,80,45,91,90,50,76,1,2,4
2,1,35,0,0,90,15,27,0,4,2
2,3,75,80,67,83.5,55,73,1,2,2
1,1,65,80,67,83.5,50,71,1,2,2
1,3,45,25,17,29.6,45,29,0,2,3
2,1,80,65,92,81.5,35,76,1,0,1
2,3,70,100,67,90,40,76,1,0,3
2,3,60,55,0,81.5,25,42,0,5,4
2,3,55,55,92,81.5,40,70,1,0,1
2,1,90,60,17,14,30,41,0,4,3
1,3,50,60,0,14,5,25,0,6,2
1,1,70,100,67,90,40,76,1,3,4
2,1,70,90,42,14,35,51,0,0,2
1,1,50,55,17,14,5,29,0,2,2
2,3,65,80,67,83.5,50,71,1,3,2
1,2,75,25,0,29.6,15,27,0,5,3
2,1,65,80,67,83.5,55,71,1,1,2
2,1,55,55,47,67.1,70,55,0,1,3
1,3,45,90,92,69.7,40,72,1,0,3
1,2,35,90,92,69.7,45,71,1,2,3
2,1,20,85,92,69.7,45,67,0,0,4
2,1,85,90,67,83.5,25,74,1,3,2
1,2,90,85,67,88.5,15,74,1,0,2
1,2,65,55,100,83,30,74,1,2,4
2,2,70,20,25,73.1,40,44,0,4,4
2,3,60,35,75,73.1,30,59,0,2,3
2,1,50,35,0,30.6,35,27,0,4,2
1,1,65,55,0,73.1,60,45,0,6,3
1,1,40,15,0,38.1,5,19,0,5,4
1,3,65,65,100,83,0,72,1,0,1
2,1,40,30,25,80.6,55,43,0,3,2
2,1,80,35,50,80.6,55,60,0,2,4
2,1,25,15,50,80.6,35,43,0,1,3
2,2,75,70,75,79.5,45,72,1,2,4
2,1,80,75,75,79.5,35,73,1,1,2
2,2,75,15,100,79.5,60,70,1,1,3
1,2,55,60,25,37,40,42,0,2,4
2,3,60,45,100,83,20,70,1,0,3
2,1,60,40,25,72,35,45,0,3,4
1,3,60,60,50,72,65,60,0,2,3
2,1,30,60,100,72,75,70,1,0,2
1,2,5,15,50,72,25,36,0,0,2
2,2,0,0,0,27.5,0,6,0,5,2
2,3,65,60,100,83,20,74,1,3,2
2,2,85,40,50,70,40,58,0,3,2
2,1,0,60,0,27.5,35,21,0,5,4
2,1,90,15,50,70,25,53,0,1,2
2,1,40,40,0,87,20,35,0,5,3
2,1,80,25,0,87,25,41,0,4,4
1,2,40,30,0,44.5,10,24,0,6,4
1,3,80,70,100,75.8,65,82,1,1,2
2,1,50,75,75,76.5,75,70,1,3,2
1,1,90,55,75,79.5,75,75,1,3,4
2,1,65,55,75,79.5,80,70,1,0,1
2,3,85,55,75,79.5,70,73,1,0,1
2,1,55,55,75,80,90,70,1,0,1
2,1,40,55,50,83,35,54,0,3,4
1,2,40,85,75,98,30,70,1,2,3
2,1,80,50,25,83,55,56,0,3,2
1,3,50,75,75,76.5,70,70,1,0,3
2,3,65,30,0,34,5,26,0,6,3
2,1,60,0,0,34,0,19,0,5,3
2,3,85,65,75,75,45,72,1,1,2
2,1,60,55,0,40,15,33,0,4,2
2,1,50,0,0,36,30,20,0,5,4
2,3,70,35,100,73.5,60,72,1,2,2
2,1,65,15,0,36,20,25,0,4,4
2,3,75,40,77,75.8,85,70,1,2,3
2,3,80,60,100,73.5,50,78,1,3,4
2,2,75,40,77,75.8,85,70,1,3,3
2,2,85,40,50,77.5,50,61,0,1,3
1,1,65,75,75,76.5,55,71,1,2,1
1,3,95,75,75,77.5,75,80,1,0,1
2,1,25,0,0,33.3,5,12,0,4,4
2,1,50,55,25,83.3,50,50,0,3,3
2,1,5,35,25,77.5,25,34,0,4,4
1,2,75,100,67,85,65,79,1,3,1
2,1,40,85,33,65,15,50,0,3,2
2,1,30,100,100,82.5,25,75,1,0,4
1,3,45,45,0,37.5,10,27,0,4,2
1,2,55,100,80,82.5,35,75,1,2,3
2,2,95,100,67,82.5,55,81,1,0,4
2,3,80,100,67,82.5,45,77,1,0,3
1,3,60,100,50,85,75,72,1,3,2
2,2,55,100,83,90,45,79,1,0,4
2,1,90,100,50,90,60,77,1,0,1
1,3,65,85,83,80,95,81,1,0,1
2,3,60,100,83,90,45,80,1,2,1
2,3,65,100,67,90,85,80,1,2,2
2,3,60,100,83,90,50,80,1,1,2
1,3,70,90,33,55,40,57,0,3,3
2,2,50,90,67,85,90,74,1,0,4
2,2,65,100,67,85,85,79,1,3,4
2,3,65,90,67,85,95,78,1,0,3
2,3,65,100,67,85,85,79,1,0,2
2,1,50,45,17,25,5,30,0,3,2
2,2,60,80,100,85,20,77,1,3,1
1,2,45,0,0,25,40,18,0,6,2
2,2,40,40,33,25,35,35,0,4,4
2,2,80,100,83,85,50,83,1,0,4
2,3,85,90,50,80,40,70,1,1,4
2,1,90,100,83,85,50,85,1,1,2
2,3,75,100,83,85,50,82,1,1,1
2,1,55,70,33,80,55.6,57,0,2,2
2,1,70,60,33,80,45,57,0,4,2
2,2,85,65,50,90,70,70,1,0,2
2,3,60,85,83,92,55,78,1,3,3
1,3,60,85,100,92,70,84,1,0,2
1,2,50,45,50,80,75,58,0,0,2
2,1,95,100,83,85,55,87,1,0,1
1,1,75,65,17,80,75,57,0,3,2
2,3,50,90,67,80,60,70,1,0,1
1,1,50,55,50,80,60,58,0,0,4
2,3,70,65,17,75,70,54,0,3,2
1,2,70,100,67,75,55,75,1,1,4
1,3,65,100,67,85,40,74,1,3,2
1,2,40,95,83,75,30,70,1,3,2
2,1,85,90,47,80,50,70,1,2,1
2,2,50,85,33,75,65,59,0,3,3
2,3,90,90,83,63,60,80,1,1,3
2,3,65,75,67,79,60,70,1,2,2
2,1,55,30,83,63,25,57,0,1,3
1,3,80,90,100,85,50,86,1,1,4
1,2,25,20,17,63,15,28,0,4,2
2,2,75,90,100,85,25,83,1,1,2
2,3,70,80,100,85,50,82,1,2,1
2,2,80,75,50,85,70,70,1,1,3
2,1,40,0,33,41.5,50,31,0,3,3
2,2,100,75,67,85,40,76,1,1,2
2,3,90,90,83,63,60,80,1,0,4
2,1,55,50,50,85,20,55,0,0,4
1,3,80,75,0,5,45,37,0,4,4
2,1,45,50,50,85,30,54,0,3,3
2,2,80,80,100,85,45,84,1,1,1
2,1,85,50,24,15,30,40,0,4,4
2,2,100,40,67,69,80,70,1,3,3
2,2,90,90,83,63,60,80,1,2,3
2,3,65,75,67,79,60,70,1,0,4
2,1,55,30,83,63,25,57,0,2,2
1,3,80,90,100,85,50,86,1,2,2
1,3,25,20,17,63,15,28,0,2,4
2,3,75,90,100,85,25,83,1,1,4
2,3,70,80,100,85,50,82,1,2,1
2,2,80,75,50,85,70,70,1,0,4
2,1,40,0,33,41.5,50,31,0,2,3
2,3,100,75,67,85,40,76,1,1,2
2,1,90,90,83,63,60,80,1,0,1
2,1,55,50,50,85,20,55,0,3,4
1,1,80,75,0,5,45,37,0,5,3
2,3,45,50,50,85,30,54,0,3,2
2,3,80,80,100,85,45,84,1,1,2
2,1,85,50,24,15,30,40,0,3,4
2,3,100,40,67,69,80,70,1,2,3
